text,label,text_label
@USER Companies that hire illegals that commit crimes sb required to cover legal fees or be fined for malfeasance for hiring them in the first place. We will never solve this problem until strict laws are passed.,0,NOT
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER You're welcome Bob! I hope you are having an excellent Wednesday!,0,NOT
@USER I'm sorry ... what?! I be in my BAG listening to that . and after dark URL,0,NOT
@USER @USER I was waiting on him to say the hokey pokey and they turn themselves around. lol Seriously what the heck.,0,NOT
@USER Gun Control Now! Beto for Massachussetts Senator!,0,NOT
@USER is for everyday working men and women. Vote Republican and keep Trump and his policies. A vote for a @USER will cost you money folks. #MAGA #WINNING URL,0,NOT
@USER got Kamara too he is the man,0,NOT
"@kfocht735 Nope - got lucky - some washing on the slopes, gonna make it a little rough combining but feeling very fortunate today",0,NOT
RT @KianteDevuan_: Beautiful smiles and colored eyes ,0,NOT
@USER Wow was he wearing his hood when he made that statement? And... antifa? Really?,0,NOT
#Yankees,0,NOT
RT @pattonoswalt: Who spotted the looming yellow crown on tonight's #TrueDetective? http://t.co/MUa60ppVeL,0,NOT
I want some monkey bread.,0,NOT
@USER @USER @USER @USER @USER @USER @USER And the United States is 94th in murder rate. Thanks for proving that gun control is useless except for authoritarians.,0,NOT
@USER She is unhinged and not to be taken seriously by anybody.,0,NOT
@goldietaylor @theGrio puppets like Don will intentionally and forever cripple our people's ability to unify a Eco and political consensus,0,NOT
@USER @USER Ask Antifa - Which one they like and respect,0,NOT
@USER It's (she) is a real problem.,0,NOT
@USER I think liberals call that a front hole now. Been having fun with that one.,0,NOT
@USER You are an inspiration and fierce! #healthyliving,0,NOT
Are poor little guinea pig died :(,0,NOT
"@TeamSky yellow in paris! Fantastic effort from #AllezWiggo and #VroomFroome..now just the last stage up for grabs #GoCav #TDF12""",0,NOT
"@LilMissRightie Hey #teabagger the #benghazi thing is a joke. 13 Benghazis under Bush, no hearings. More on Benghazi than real 9-11 attack",0,NOT
@USER Also - Didn't he just flat-out stop showing up to set for the Freddie Mercury biopic? That shit should kill his career...and here he is getting another gig!,0,NOT
@USER He has the msm covering up,0,NOT
"Believe in something, even if it means sacrificing everything."" @USER #MAGA URL",0,NOT
"RT @BARRYCLERJUSTE: Whatchu sayin hoe, YOU KNOW IM THE MAN HOE",0,NOT
HAPPY #ConstitutionDay all my MAGA peeps! A great time to be alive.,0,NOT
@USER He is jeopardizing our security! If he wants to show he favors transparency he can instead release his taxes!,0,NOT
@TheREALJB1RD Gotta get my superbowl shirt at the cleaners then we hitting the big bird.,0,NOT
<<<when it's yellow outside,0,NOT
@USER White House said all parties shld be heard! This is why no one trust the media and why liberals are failing,0,NOT
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Keep it going let's all remember VOTE!!! VOTE RED!! Let's do the #MAGA for our  .  Yaay!! #MAGA!!  ,0,NOT
@RealSkipBayless man what about Wilson being the 2nd Black QB to win a chip? Talkn about trash talk. No shine for Russell..,0,NOT
"@USER Never Trumper uses brain for first time, wakes up to the fight #MAGA community has been waging for two years.""""",0,NOT
@USER Boi I'm trynna feast on that booty... I mean those noodles,0,NOT
Adam West? RT @share_ps4: LMAO this is trash b http://t.co/TsvuMw92HU,0,NOT
"@USER Actually, it was Hitler who patterned his style after the Democrats in America, Hey! That's what we should do"" and he did.""",0,NOT
"@USER I'd argue it's pointless to keep asking him the questions in the first place, what else is he supposed to say? And speaking of running with a quote, I don't believe I said I liked it in any way. You can tho""   . See, this is how things get misconstrued.""",0,NOT
@USER Yessir fam,0,NOT
"""@Yankees: Down 6-1, #Yankees look to rally in the bottom of the 9th."" #RALLYCAP",0,NOT
@USER @USER @USER @USER @USER @USER I saw her in Denver last week. She is still traumatized. Cohen owes her so much because of 'My Life on the D List'.,0,NOT
@USER You are certainly one amazing hot gorgeous stunning sexy flawless woman. Wow!,0,NOT
RT @MaryWCVB: Still waiting for Charlie Baker to take the stage in Swampscott. #wcvb http://t.co/lYb3Thm199,0,NOT
@USER @USER needs to retire. She is done.,0,NOT
@USER @USER @USER @USER @USER @USER You are the racist. Serenas outburst and pure hate was the worst I've seen in tennis,0,NOT
@USER He's so yesterday,0,NOT
"@USER Eminem did gun control"" a machine gun kelly come back""",0,NOT
 plus Sheryl crow http://t.co/49KYwZnotU,0,NOT
@USER time to kick may out and take on brexit as it should of been done 2 years ago. #conservatives #Maymustgo,0,NOT
@Bitterchick Dare be only one bag dat folks be suckin on what I comes to yo partayyyy! All da ofay be wantin to ride in my eldorato,0,NOT
They use to call my mom Japs when she was younger. Lol Asian racial slurs.,0,NOT
5SOS is trash,0,NOT
RT @DreCordero: Always interesting to see people who trash La Liga react to products of La Liga on Premier League clubs.,0,NOT
@USER Holder belongs in jail.,0,NOT
Early worm gets the bird #Bslfe #GoodMorning http://t.co/dfE8MF2Q28,0,NOT
@USER Have you looked in any ANTIFA recruitment centers? Welfare offices? Maybe in one of those tents in CA? Just a thought,0,NOT
@Ilovebamf Whats it say... I see bird in it... Lmao,0,NOT
@USER Now you are a Netflix whisperer? Jack of all trades right here.  ,0,NOT
@USER She is she blocked me URL,0,NOT
@USER @USER @USER @USER @USER Alex it has been fantastic watching you race this season Love how you pass and how determined you are every race . Thank you,0,NOT
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Wow. Delusional Antifa here. Determining that someone has or has not been involved in many protests. Already judging and deciding for others. Typical facist hiding behind the term antifa. Much like Jim Jones. Scary.,0,NOT
@USER #JulieBurchill is actually mentally ill. When I was a kid she used to fill the NME and The Face and all those mags with her vacuous drivel and now she is given the space in Grown Up World to do it courtesy the spineless pro #brexit @USER eejits. She is pathetic.,0,NOT
Analysis | Devin Nunes explains  antifa' and  all of these riots':  We're winning' - The Washington Post  @USER #traitor #VoteHimOut URL,0,NOT
I'd be the best at owning a bird. I could teach them the funniest things to say.,0,NOT
"@BryanStars ATL, BVB, SWS, PTV, THE RELAPSE SYMPHONY, SET IT OFF, FAREWELL, MY LOVE, MAYDAY PARADE, FOB, PARAMORE, etc",0,NOT
@USER Nah I ain't done it yet. Usually you have to walk extra far just to get to one so it defeats the purpose,0,NOT
RT @KarenRFM: No-TV-During-the-Week #parenting rule has thrown quite a monkey wrench into #RooseveltsPBS viewing schedule. #DVRtime @wcve # ,0,NOT
"@TMark617 feel same way about New England Patriots and New York Yankees. But unlike u, I've worked in Boston and NYC. Texas prison is upgrade",0,NOT
CAIR Publishes a Hit List for Jihadis http://t.co/hvVfXypmHm via @RealJTP If you are a red blooded #American you may be on the list..,0,NOT
RT @TwitchyTeam: 'Dying laughing': Russian wrestlers mock 'girly man' Obama's workout video http://t.co/LLDrxLZeUs,0,NOT
They have a clumsy bird too lol what is life,0,NOT
@USER why should he the woman is lying according to everyone that went to school there except liberals who would say anything to get rid of him.,0,NOT
@USER everyone please vote for Vicki barbolack she is the most amazing kind hearted funny and loved person on that stage no one has earned this more than her,0,NOT
@USER Congratulations on being in San Antonio for one year! I am glad you are working here!,0,NOT
@ComplexMag I didn't know #whitetears were blue and yellow! #lessonoftheday,0,NOT
@USER He knows he dosen't have much time left before he is brought down.,0,NOT
Houston has so many trash drivers,0,NOT
"Do you have a nickname? What is it? Tator, Tator tot, Tightey whitey, whitey Jr, Taylor whitey pants, agent ti... http://t.co/xLBhDJfBF4",0,NOT
@USER Another uninformed,0,NOT
@USER @USER Who's Oboma???,0,NOT
@USER This has gone on for too long. IMO Trump wants him to meet with them and he had been trying to help Trump reach a. Peace deal until this blows over and he is able to tell the world that they was lying to everyone in order to trick certain people until they could take them down.,0,NOT
@USER Here he is: @USER,0,NOT
@USER Liberals always find a new low to achieve,0,NOT
@USER @USER @USER @USER Here is 7 URL,0,NOT
@USER @USER Insanity...just like the commies! #hypocrisy #TheStorm #maga #KAG #QAnon URL,0,NOT
@USER What policies do the Republicans have for gun control?,0,NOT
@USER @USER At a community meeting he did not answer the question about gun control. Just skirted around it!,0,NOT
@USER Now that's what I call gun control!!  ,0,NOT
the train station Harry's at is trash I've been to the same Eurostar too they refunded my whole trip to Paris bc train accident,0,NOT
1 positive: #Trump is mobilizing #democrats and #liberals like never b/4-get involved! #neveragain #Resist #ImpeachTrump #MuellerTime URL URL,0,NOT
"RT @MissZindzi: But yall make the MUTUAL DECISION to have sex on the first date, but she's trash? What kind of math??",0,NOT
@USER Weird California has all the best gun control,0,NOT
@USER @USER Sounds good false or not she is willing to testify,0,NOT
@USER @USER He should have started since game 1. But don't worry once he gets the start it will change the faith for the Browns. He is a winner!!! Nothing against current starter. But he is just a back up in the NFL.,0,NOT
#LeviStrauss takes stand on gun control #SanFrancisco #LEVISTRAUSSandCOMPANY #America #SaferTomorrowFund URL URL,0,NOT
"@USER So the whole Republican for gun control"" nonsense can finally be laid to rest?""",0,NOT
@USER Now this. A thousand percent agree with this. She is a passionate woman.,0,NOT
@USER @USER Yes as the Democrats and liberals continue to sabotage the November elections it would be the intelligent thing to do so say 20+Million Veterans URL,0,NOT
@USER Stanced up URL,0,NOT
Oreos and coffee for brunch. I do what I want!,0,NOT
"RT @KyleKallgren: You know how in superhero stories the best insult for superheroes dumb mooks can come up with is ""do-gooder?"" #whiteknight",0,NOT
"RT @audizzle: Quote of last night, @GinaGaus telling me to find her a curved stick and she'll make a crossbow to shoot a bird down",0,NOT
@USER As Catholics RUN from Parrishes,0,NOT
@USER @USER @USER @USER Or in other words. ignore a democratic vote as it didn't go the way I wanted.,0,NOT
@GroteSmurf0 @illMartino @SvensTweet @KangUcup3 goh d AnoniemeAso meeting heeft weer pauze.Nog steeds niet bij hoofdstuk:hoe haal ik m'n ID?,0,NOT
(Not th@ @USER taking a knee has anything 2do w/military but)most #Conservatives hate him far more than they care about #vaterans smh #TrumpsAmerica,0,NOT
"and now every time me and my friend talk, no matter the subject, her nips haunt us. it's as if one nip was introducing itself to the other.",0,NOT
"""@WBUR: A smuggler explains how he helped fighters along the ""Jihadi Highway"": http://t.co/UX4anxeAwd""",0,NOT
"@USER @USER @USER Right now is the most convenient time for a possible"" wrinkle to thrown at Conservatives. Dems have whined and cried and stomp their feet and thrown tantrums until the rest of America that may have trusted them definitely dont now. Theyre lying snakes and they deserve nothing.""",0,NOT
OBAMAS LYING SKANK MARIA HARF #DNCwbore #LyingSkank #KavanaughConfirmation #ChristineBlaseyFord #RedNationRising #KAG #MAGA #CCOT @USER URL,0,NOT
@USER   THAT SUMS UP THE STATE OF LIBERALS,0,NOT
Tyrese trash,0,NOT
All da white folk off twitter yet? Da colored tweet at night while y'all sleep cuz you gotta woyke tomorrow.,0,NOT
"@oliviagobert lmao yes I kind of like it it's not that ghetto yet and they are and then he says ""u feel me"" ",0,NOT
#jiyoonfact She is the father of the group.,0,NOT
A few things that happened to me in between #KUFball road wins: -got married -had sex twice -got divorced,0,NOT
@USER @USER @USER @USER He is great! Awesome songs... I love walk on by and what it is best!,0,NOT
@USER @USER Further proves antifa members are larping...you clowns not John Wick and this not Imagination Land.,0,NOT
@USER @USER Liberals putting politics ahead of the economy? Never,0,NOT
@USER you don't know me,0,NOT
@USER she is so sweet,0,NOT
@USER Its a hail mary pass to show her constituents that she is fighting so that she can get reelected. I think this will backfire against Democrats. I hope you all watched Justice Ginsburg and Thomas one C-Span saying that this nomination is a ridiculous display against a qualified man,0,NOT
@USER As we now know there were scandals. They were covered up very well. That's coming to end. Slowly but surely.,0,NOT
"Lmaoooo!!!!!!!!!!!! ""@King_Komo: A bird in the hand is worth two in the bush. http://t.co/50Ye6jAADU""",0,NOT
"@gerfingerpoken2 His job as US Prez, to protect us is throw in trash..Ebola ER at our cost Daniel, both money and lives! DoG",0,NOT
@USER @USER @USER @USER @USER @USER @USER @USER @USER Dude your sister rocks and you should be ashamed never go against the family! it shows you are a little man.,0,NOT
Nike DC is trash.,0,NOT
@EverybodyHatesV I read a black man tweet hot sauce is trash and watermelon is overrated. I can't deal,0,NOT
"@Charlie4927 Hi Charlie, have a great day",0,NOT
I'm Hun-gry,0,NOT
@SBPart01 @melodybrooke11 fuzzy dice might be the nicest thing you could put in your car lol ,0,NOT
@USER @USER @USER The historic moniker for the Tories is The Stupid Party. American conservatives test out with lower average intelligence than liberals.,0,NOT
@Sheen300 Ok. So for what reason did god make parasitic worms whose sole purpose is to burrow into the eye of a small African child?,0,NOT
@USER @USER @USER There's actually republican cities that have higher crime rate than Chicago URL,0,NOT
@USER @USER @USER @USER Antifa is banned by the central commitee for they are not proper socialists. More pinko then red.,0,NOT
janet Jackson's nip slip #iconic,0,NOT
@USER War on free speech. Antifa and high tech.,0,NOT
@USER 6 for his last 30 with 12 K's and he is catcher that CAN'T CATCH!,0,NOT
@USER She needs to make as much money as she can while the liberals are all duped.,0,NOT
@USER @USER @USER And conservatives are no longer conservatives why do you think Maxime Bernier has started a new party that will follow original Conservative values.,0,NOT
ooh girl cute face but yellow teef. lol,0,NOT
@JT_Cameron92 or your in the ghetto,0,NOT
