text,label,text_label
Im back bitches!!!!!!,1,OFFENSIVE
@USER When is this low IQ piece of human trash going to go away. Nobody cares what this wack job has to say so why is she constantly in our faces. If she thinks Mr. Trump has acted despicably what does she call going on live television and telling people to attack conservatives?,1,OFFENSIVE
@OMG_itsBrooke hey hoe,1,OFFENSIVE
@USER Darcy = Dorsey? I'm not sure why anyone was expecting a balanced platform when the owner is a satanist.,1,OFFENSIVE
RT @JewlzSantana: making every bitch feel important...,1,OFFENSIVE
"Why are nudes called nudes? I would rather be like "" hey girl send me the tits and ass hoe """,1,OFFENSIVE
@USER I`m with you JR.She is nothing.Don`t waste your time on human waste!,1,OFFENSIVE
"RT @Likea_BOSS_x3: After a long day at work, bitch wunna rest her feet on me lol http://t.co/2rhN5HpASb",1,OFFENSIVE
Im a boogie ass niggahs to these fast hoes,1,OFFENSIVE
""" bitches get cut off everyday B """,1,OFFENSIVE
@tayscalf a beam of light descended from the heavens a loud voice said fuck her right in the pussy many lives were changed that day,1,OFFENSIVE
"It already Soaked, Sinked, and Melted so dropped that's shit bitch IDGAF linc up or get caught ",1,OFFENSIVE
"@RobinFury Drake is bitch made for that, likes Phonte so much and won't do a track over that....",1,OFFENSIVE
Some thots will just never learn gooooo awaaaaay hoe,1,OFFENSIVE
RT @Elisha40hands: bitch you got too many teeth in your mouth,1,OFFENSIVE
@USER @USER Steroid girl in steroid rage,1,OFFENSIVE
That's still my pussy,1,OFFENSIVE
http://t.co/ARKGfY02pT girl cheeks gone be cold than a bitch,1,OFFENSIVE
RT @Sosa_chello: Ian worried bout a bitch who ain't worried bout me ,1,OFFENSIVE
@Midnight_Snacka bitch I don't want yo fat ass following me hoe,1,OFFENSIVE
Somebody tell these pussy niggas I got em I got em,1,OFFENSIVE
@USER @USER @USER Oh please EVERY network is reporting this. This is bullshit obviously but stop pretending it's just fox. Your political bigotry is showing.,1,OFFENSIVE
"""@Girllssues: I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck",1,OFFENSIVE
Bumoose ducking those insults like a scared white pussy,1,OFFENSIVE
He said bitch boy ,1,OFFENSIVE
nice boobs,1,OFFENSIVE
boobies,1,OFFENSIVE
punda,1,OFFENSIVE
@USER Bitch im gonna see you on december dont me. We have to see each other,1,OFFENSIVE
Sock the pussy like I'm vegeta,1,OFFENSIVE
Smfh RT @pufntrees: @quanb24 trash..slow as fuck..cant even get a nike release on that,1,OFFENSIVE
RT @POONsoaker: You retarded if you say Birdmsn don't go hard.,1,OFFENSIVE
@jstewcoolcat fag lol,1,OFFENSIVE
@USER @USER Liberals have no shame. To them the outcome justifies the mean,1,OFFENSIVE
"RT @cokvne: Fuck twerking, bitch can you cook? ",1,OFFENSIVE
"""@jama_jam: You bitches be pretending to be TF crazy.."" You ain't never lied...",1,OFFENSIVE
@USER I see boobs lol  ,1,OFFENSIVE
@C0MMONLY @scorpiogans93 @EcliptiK pussies,1,OFFENSIVE
RT @LethalBizzle: Suck yo momma flappy bird!!!!!!,1,OFFENSIVE
He said soul patch bitch ..!!! Lmaoooo,1,OFFENSIVE
Joe young gone shoot that bitch,1,OFFENSIVE
"I be waiting for a bitch to sneak diss , I'm @-ing IDC ",1,OFFENSIVE
 @GdoubleT: @BrianMC630 find a loyal ho @finntasticccc ,1,OFFENSIVE
Let a bitch be a bitch n a hoe be a hoe!,1,OFFENSIVE
Bitches be trying to squash all beef wen they find out they pregnant! Some hoes dont give a fuck!,1,OFFENSIVE
@USER You after the Mounties come and get you for being a dirty pervert on the Internet...only you are 150 pounds heavier than him but you get the point URL,1,OFFENSIVE
I lost all my respect for my brother cause you acting like a straight up bitch,1,OFFENSIVE
RT @CheefPolo: Trippin over a rock >> trippin over a bitch,1,OFFENSIVE
@USER Liberals are trying to destroy all conservative men. Time to criminally charge and jail these liars that try to destroy a man.,1,OFFENSIVE
Bitches always like you got hoes.. I be like duhh I'm tryna make you one of em nbs,1,OFFENSIVE
Sesh with my n-words say it like a white kid yes my Kush is betta than yours u are a whore so please kill yo self fool bitch ass,1,OFFENSIVE
 @LoveLifeEst13: lmao @West305 and Aero sound young af talking bout hoes n weed n shit @Finesse_iAm brah you gotta listen to this shit,1,OFFENSIVE
Im just a young niggah tryna live my life long,1,OFFENSIVE
Ferrari addiction bitch it's a wonderful thing.,1,OFFENSIVE
Emd hoe,1,OFFENSIVE
But who is me to TALK about the next bitch flexing when I done don it before ,1,OFFENSIVE
@KazAtta your welcome my nig #salute,1,OFFENSIVE
A bad bitch who knows her cars>>>,1,OFFENSIVE
@USER You are so dope man,1,OFFENSIVE
RT @T_Madison_x: A hoe ass nigga will never change,1,OFFENSIVE
